ID,DESCRICAO,timestamp,ESTOQUE,UNIDADE,LOJA,CATEGORIA,MARCA,QUALIDADE,QTD,URL,TAMANHO
id_96,Fralda Pampers Confort Sec XG 34 unidades,2024-12-03 13:55:33,True,2.32,DROGARAIA,fraldas,PAMPERS,CONFORT SEC,34,https://www.drogaraia.com.br/pampers-confortsec-mega-tamanho-xg-34-unidades.html,XG
id_97,Fralda Pampers Confort Sec XG 54 unidades,2024-12-03 13:55:33,True,1.92,DROGARAIA,fraldas,PAMPERS,CONFORT SEC,54,https://www.drogaraia.com.br/pampers-fralda-descartvel-confortsec-super-xg-54-unidades.html,XG
id_98,Fralda Huggies Tripla Proteção Disney Baby XG 32 unidades,2024-12-03 13:55:33,True,1.75,DROGARAIA,fraldas,HUGGIES,TRIPLA PROTECAO,32,https://www.drogaraia.com.br/fralda-huggies-tripla-protecao-tamanho-xg.html,XG
id_99,Fralda Huggies Supreme Care Disney Baby XG 26 unidades,2024-12-03 13:55:33,True,2.42,DROGARAIA,fraldas,HUGGIES,SUPREME CARE,26,https://www.drogaraia.com.br/huggies-fralda-supreme-care-unissex-mega-xg.html,XG
id_100,Fralda Pampers Confort Sec XG 62 unidades,2024-12-03 13:55:33,True,2.1,DROGARAIA,fraldas,PAMPERS,CONFORT SEC,62,https://www.drogaraia.com.br/pampers-confortsec-giga-tamanho-xg-62-unidades-1.html,XG
id_101,Fralda Pampers Premium Care XG 26 unidades,2024-12-03 13:55:33,True,3.07,DROGARAIA,fraldas,PAMPERS,PREMIUM CARE,26,https://www.drogaraia.com.br/pampers-premium-care-tamanho-extra-grande-com-26-tiras.html,XG
id_102,Fralda Pampers Confort Sec XG 58 unidades,2024-12-03 13:55:33,True,1.89,DROGARAIA,fraldas,PAMPERS,CONFORT SEC,58,https://www.drogaraia.com.br/pampers-fralda-descartavel-confortsec-super-xg-58-unidades-1096108.html,XG
id_118,Fralda Descartável Pampers Premium Care Pants XG 64 Unidades,2024-12-03 13:55:33,True,1.38,INTER SHOP,fraldas,PAMPERS,PREMIUM CARE,64,https://shopping.inter.co/Fralda-Descartavel-Pampers/p/2349161,XG
id_120,Fralda Descartável Pampers Supersec Jumbo 68 Unidades XG,2024-12-03 13:55:33,True,1.46,INTER SHOP,fraldas,PAMPERS,SUPERSEC,68,https://shopping.inter.co/Fralda-Descartavel-Pampers/p/6115048,XG
id_121,Fralda Pampers Supersec Jumbo Xg Com 68 Unidades,2024-12-03 13:55:33,True,1.3,INTER SHOP,fraldas,PAMPERS,SUPERSEC,68,https://shopping.inter.co/Fralda-Pampers-Supersec-Jumbo/p/6218741,XG
